"parameter","estimate","se","rse","shrinkage","file"
"ETA1",0.0521,0.023,44.1458733205374,NA,"NM_0_037_3956.lst"
"ETA1",0.0511,0.0228,44.6183953033268,NA,"NM_0_037_4117.lst"
"ETA1",0.0209,0.00978,46.7942583732057,NA,"NM_0_037_414.lst"
"ETA1",0.0524,0.0229,43.7022900763359,NA,"NM_0_037_4278.lst"
"ETA1",0.0673,0.0313,46.5081723625557,NA,"NM_0_037_4439.lst"
"ETA1",0.0697,0.032,45.9110473457676,NA,"NM_0_037_4600.lst"
"ETA1",0.0528,0.0236,44.6969696969697,NA,"NM_0_037_4761.lst"
"ETA1",0.0177,0.00983,55.5367231638418,NA,"NM_0_037_575.lst"
"ETA1",0.0164,0.0106,64.6341463414634,NA,"NM_0_037_736.lst"
"ETA1",0.0166,0.00897,54.0361445783133,NA,"NM_0_037_897.lst"
"ETA1",0.0215,0.0103,47.9069767441861,NA,"NM_0_038.lst"
"ETA1",0.0643,0.0293,45.5676516329705,NA,"NM_0_038_1059.lst"
"ETA1",0.0668,0.031,46.4071856287425,NA,"NM_0_038_1220.lst"
"ETA1",0.0642,0.0293,45.6386292834891,NA,"NM_0_038_1381.lst"
"ETA1",0.0726,0.0337,46.4187327823691,NA,"NM_0_038_1542.lst"
"ETA1",0.0849,0.0451,53.1213191990577,NA,"NM_0_038_1703.lst"
"ETA1",0.0653,0.0307,47.0137825421133,NA,"NM_0_038_1864.lst"
"ETA1",0.0243,0.0183,75.3086419753086,NA,"NM_0_038_2025.lst"
"ETA1",0.0193,0.0163,84.4559585492228,NA,"NM_0_038_2186.lst"
"ETA1",0.0251,0.0181,72.1115537848606,NA,"NM_0_038_2347.lst"
"ETA1",0.0239,0.0309,129.28870292887,NA,"NM_0_038_2508.lst"
"ETA1",0.0167,0.00963,57.6646706586826,NA,"NM_0_038_254.lst"
"ETA1",0.0142,0.175,1232.39436619718,NA,"NM_0_038_2669.lst"
"ETA1",0.0184,0.0156,84.7826086956522,NA,"NM_0_038_2830.lst"
"ETA1",0.074,0.0374,50.5405405405405,NA,"NM_0_038_2991.lst"
"ETA1",0.0607,0.0442,72.8171334431631,NA,"NM_0_038_3152.lst"
"ETA1",0.074,0.0374,50.5405405405405,NA,"NM_0_038_3313.lst"
"ETA1",0.0589,0.0328,55.6876061120543,NA,"NM_0_038_3474.lst"
"ETA1",0.056,0.0286,51.0714285714286,NA,"NM_0_038_3635.lst"
"ETA1",0.0547,0.037,67.6416819012797,NA,"NM_0_038_3796.lst"
"ETA1",0.056,0.0246,43.9285714285714,NA,"NM_0_038_3957.lst"
"ETA1",0.0521,0.023,44.1458733205374,NA,"NM_0_038_4118.lst"
"ETA1",0.021,0.0102,48.5714285714286,NA,"NM_0_038_415.lst"
"ETA1",0.0533,0.0231,43.3395872420263,NA,"NM_0_038_4279.lst"
"ETA1",0.0674,0.0316,46.8842729970326,NA,"NM_0_038_4440.lst"
"ETA1",0.0689,0.0321,46.589259796807,NA,"NM_0_038_4601.lst"
"ETA1",0.0568,0.0252,44.3661971830986,NA,"NM_0_038_4762.lst"
"ETA1",0.0177,0.0102,57.6271186440678,NA,"NM_0_038_576.lst"
"ETA1",0.0192,0.0116,60.4166666666667,NA,"NM_0_038_737.lst"
"ETA1",0.0167,0.00955,57.185628742515,NA,"NM_0_038_898.lst"
"ETA1",0.0393,0.021,53.4351145038168,NA,"NM_0_043.lst"
"ETA2",0.0149,0.0103,69.1275167785235,NA,"NM_0_043.lst"
"ETA1",0.0271,0.0126,46.4944649446495,NA,"NM_0_043_1060.lst"
"ETA2",0.0206,0.0088,42.7184466019417,NA,"NM_0_043_1060.lst"
"ETA1",0.0309,0.015,48.5436893203883,NA,"NM_0_043_1221.lst"
"ETA2",0.0164,0.0112,68.2926829268293,NA,"NM_0_043_1221.lst"
"ETA1",0.027,0.0127,47.037037037037,NA,"NM_0_043_1382.lst"
"ETA2",0.0213,0.00904,42.4413145539906,NA,"NM_0_043_1382.lst"
"ETA1",0.032,0.0144,45,NA,"NM_0_043_1543.lst"
"ETA2",0.0152,0.0113,74.3421052631579,NA,"NM_0_043_1543.lst"
"ETA1",0.0291,0.0175,60.1374570446735,NA,"NM_0_043_1704.lst"
"ETA2",0.0293,0.0386,131.740614334471,NA,"NM_0_043_1704.lst"
"ETA1",0.0323,0.0157,48.6068111455108,NA,"NM_0_043_1865.lst"
"ETA2",0.0142,0.00938,66.056338028169,NA,"NM_0_043_1865.lst"
"ETA1",0.0169,0.0135,79.8816568047337,NA,"NM_0_043_2026.lst"
"ETA2",0.00359,0.00944,262.952646239554,NA,"NM_0_043_2026.lst"
"ETA1",0.0155,0.0123,79.3548387096774,NA,"NM_0_043_2187.lst"
"ETA2",0.00242,0.011,454.545454545455,NA,"NM_0_043_2187.lst"
"ETA1",0.0169,0.0134,79.2899408284024,NA,"NM_0_043_2348.lst"
"ETA2",0.00351,0.0105,299.145299145299,NA,"NM_0_043_2348.lst"
"ETA1",0.027,0.0176,65.1851851851852,NA,"NM_0_043_2509.lst"
"ETA2",0.00905,0.013,143.646408839779,NA,"NM_0_043_2509.lst"
"ETA1",0.031,0.0209,67.4193548387097,NA,"NM_0_043_255.lst"
"ETA2",0.00857,0.0109,127.187864644107,NA,"NM_0_043_255.lst"
"ETA1",0.0405,0.0301,74.320987654321,NA,"NM_0_043_2670.lst"
"ETA2",0.0341,0.058,170.087976539589,NA,"NM_0_043_2670.lst"
"ETA1",0.0166,0.0138,83.1325301204819,NA,"NM_0_043_2831.lst"
"ETA2",0.00465,0.0109,234.408602150538,NA,"NM_0_043_2831.lst"
"ETA1",0.0347,0.0218,62.8242074927954,NA,"NM_0_043_2992.lst"
"ETA2",1e-05,0,0,NA,"NM_0_043_2992.lst"
"ETA1",0.0341,0.0175,51.3196480938416,NA,"NM_0_043_3153.lst"
"ETA2",1e-05,0,0,NA,"NM_0_043_3153.lst"
"ETA1",0.0347,0.0218,62.8242074927954,NA,"NM_0_043_3314.lst"
"ETA2",1e-05,0,0,NA,"NM_0_043_3314.lst"
"ETA1",0.0351,0.0168,47.8632478632479,NA,"NM_0_043_3475.lst"
"ETA2",1e-05,0,0,NA,"NM_0_043_3475.lst"
"ETA1",0.031,0.014,45.1612903225806,NA,"NM_0_043_3636.lst"
"ETA2",1e-05,0,0,NA,"NM_0_043_3636.lst"
"ETA1",0.0321,0.0167,52.0249221183801,NA,"NM_0_043_3797.lst"
"ETA2",1e-05,0,0,NA,"NM_0_043_3797.lst"
"ETA1",0.0267,0.0102,38.2022471910112,NA,"NM_0_043_3958.lst"
"ETA2",0.0414,0.0155,37.43961352657,NA,"NM_0_043_3958.lst"
"ETA1",0.0245,0.00847,34.5714285714286,NA,"NM_0_043_4119.lst"
"ETA2",0.0392,0.0158,40.3061224489796,NA,"NM_0_043_4119.lst"
"ETA1",0.0394,0.021,53.2994923857868,NA,"NM_0_043_416.lst"
"ETA2",0.0152,0.0103,67.7631578947368,NA,"NM_0_043_416.lst"
"ETA1",0.027,0.0102,37.7777777777778,NA,"NM_0_043_4280.lst"
"ETA2",0.0414,0.0154,37.1980676328502,NA,"NM_0_043_4280.lst"
"ETA1",0.0256,0.0107,41.796875,NA,"NM_0_043_4441.lst"
"ETA2",0.0401,0.0127,31.6708229426434,NA,"NM_0_043_4441.lst"
"ETA1",0.028,0.0157,56.0714285714286,NA,"NM_0_043_4602.lst"
"ETA2",0.0162,0.012,74.0740740740741,NA,"NM_0_043_4602.lst"
"ETA1",0.0269,0.00985,36.6171003717472,NA,"NM_0_043_4763.lst"
"ETA2",0.0421,0.0156,37.0546318289786,NA,"NM_0_043_4763.lst"
"ETA1",0.0277,0.0219,79.0613718411552,NA,"NM_0_043_577.lst"
"ETA2",0.00828,0.0132,159.420289855072,NA,"NM_0_043_577.lst"
"ETA1",0.0187,0.0102,54.5454545454545,NA,"NM_0_043_738.lst"
"ETA2",1e-05,0,0,NA,"NM_0_043_738.lst"
"ETA1",0.0373,0.0213,57.1045576407507,NA,"NM_0_043_899.lst"
"ETA2",0.0145,0.0114,78.6206896551724,NA,"NM_0_043_899.lst"
"ETA1",0,0,NA,NA,"NM_0_0436.lst"
"ETA2",0.151,0.149,98.6754966887417,NA,"NM_0_0436.lst"
"ETA1",0.277,0.303,109.386281588448,NA,"NM_0_0437.lst"
"ETA2",0.0254,0.0128,50.3937007874016,NA,"NM_0_0437.lst"
"ETA1",0,0,NA,NA,"NM_0_0438.lst"
"ETA2",0.156,0.152,97.4358974358974,NA,"NM_0_0438.lst"
"ETA1",0.0372,0.0191,51.3440860215054,NA,"NM_0_044.lst"
"ETA2",0.0149,0.01,67.1140939597315,NA,"NM_0_044.lst"
"ETA1",0.0271,0.0132,48.7084870848709,NA,"NM_0_044_1061.lst"
"ETA2",0.0208,0.00944,45.3846153846154,NA,"NM_0_044_1061.lst"
"ETA1",0.0282,0.0141,50,NA,"NM_0_044_1222.lst"
"ETA2",0.0198,0.0121,61.1111111111111,NA,"NM_0_044_1222.lst"
"ETA1",0.027,0.0132,48.8888888888889,NA,"NM_0_044_1383.lst"
"ETA2",0.0215,0.00974,45.3023255813954,NA,"NM_0_044_1383.lst"
"ETA1",0.0317,0.0159,50.1577287066246,NA,"NM_0_044_1544.lst"
"ETA2",0.016,0.012,75,NA,"NM_0_044_1544.lst"
"ETA1",0.0256,0.0258,100.78125,NA,"NM_0_044_1705.lst"
"ETA2",0.0375,0.0484,129.066666666667,NA,"NM_0_044_1705.lst"
"ETA1",0.0322,0.0163,50.6211180124224,NA,"NM_0_044_1866.lst"
"ETA2",0.0144,0.00994,69.0277777777778,NA,"NM_0_044_1866.lst"
"ETA1",0.017,0.0138,81.1764705882353,NA,"NM_0_044_2027.lst"
"ETA2",0.00374,0.00972,259.893048128342,NA,"NM_0_044_2027.lst"
"ETA1",0.0152,0.0125,82.2368421052632,NA,"NM_0_044_2188.lst"
"ETA2",0.00207,0.0112,541.062801932367,NA,"NM_0_044_2188.lst"
"ETA1",0.017,0.0137,80.5882352941177,NA,"NM_0_044_2349.lst"
"ETA2",0.00368,0.0108,293.478260869565,NA,"NM_0_044_2349.lst"
"ETA1",0.0269,0.0175,65.0557620817844,NA,"NM_0_044_2510.lst"
"ETA2",0.00897,0.0126,140.468227424749,NA,"NM_0_044_2510.lst"
"ETA1",0.03,0.0193,64.3333333333333,NA,"NM_0_044_256.lst"
"ETA2",0.00874,0.0105,120.137299771167,NA,"NM_0_044_256.lst"
"ETA1",0.0389,0.0296,76.0925449871465,NA,"NM_0_044_2671.lst"
"ETA2",0.0326,0.0548,168.098159509202,NA,"NM_0_044_2671.lst"
"ETA1",0.0167,0.0143,85.6287425149701,NA,"NM_0_044_2832.lst"
"ETA2",0.00474,0.0119,251.054852320675,NA,"NM_0_044_2832.lst"
"ETA1",0.0348,0.0222,63.7931034482759,NA,"NM_0_044_2993.lst"
"ETA2",1e-05,0,0,NA,"NM_0_044_2993.lst"
"ETA1",0.0342,0.0178,52.046783625731,NA,"NM_0_044_3154.lst"
"ETA2",1e-05,0,0,NA,"NM_0_044_3154.lst"
"ETA1",0.0348,0.0222,63.7931034482759,NA,"NM_0_044_3315.lst"
"ETA2",1e-05,0,0,NA,"NM_0_044_3315.lst"
"ETA1",0.0351,0.0175,49.8575498575499,NA,"NM_0_044_3476.lst"
"ETA2",1e-05,0,0,NA,"NM_0_044_3476.lst"
"ETA1",0.0309,0.0142,45.9546925566343,NA,"NM_0_044_3637.lst"
"ETA2",1e-05,0,0,NA,"NM_0_044_3637.lst"
"ETA1",0.0323,0.0171,52.9411764705882,NA,"NM_0_044_3798.lst"
"ETA2",1e-05,0,0,NA,"NM_0_044_3798.lst"
"ETA1",0.0265,0.0109,41.1320754716981,NA,"NM_0_044_3959.lst"
"ETA2",0.0413,0.0156,37.772397094431,NA,"NM_0_044_3959.lst"
"ETA1",0.0234,0.00929,39.7008547008547,NA,"NM_0_044_4120.lst"
"ETA2",0.0408,0.0167,40.9313725490196,NA,"NM_0_044_4120.lst"
"ETA1",0.0372,0.0191,51.3440860215054,NA,"NM_0_044_417.lst"
"ETA2",0.0152,0.01,65.7894736842105,NA,"NM_0_044_417.lst"
"ETA1",0.0268,0.0108,40.2985074626866,NA,"NM_0_044_4281.lst"
"ETA2",0.0413,0.0155,37.5302663438257,NA,"NM_0_044_4281.lst"
"ETA1",0.025,0.0116,46.4,NA,"NM_0_044_4442.lst"
"ETA2",0.0398,0.0128,32.1608040201005,NA,"NM_0_044_4442.lst"
"ETA1",0.0279,0.0159,56.989247311828,NA,"NM_0_044_4603.lst"
"ETA2",0.0161,0.012,74.5341614906832,NA,"NM_0_044_4603.lst"
"ETA1",0.026,0.0106,40.7692307692308,NA,"NM_0_044_4764.lst"
"ETA2",0.0442,0.0166,37.5565610859728,NA,"NM_0_044_4764.lst"
"ETA1",0.0266,0.0195,73.3082706766917,NA,"NM_0_044_578.lst"
"ETA2",0.00847,0.0122,144.037780401417,NA,"NM_0_044_578.lst"
"ETA1",0.0184,0.00982,53.3695652173913,NA,"NM_0_044_739.lst"
"ETA2",1e-05,0,0,NA,"NM_0_044_739.lst"
"ETA1",0.0356,0.0195,54.7752808988764,NA,"NM_0_044_900.lst"
"ETA2",0.0146,0.011,75.3424657534246,NA,"NM_0_044_900.lst"
"ETA1",0,0,NA,NA,"NM_0_0445.lst"
"ETA2",0.212,0.203,95.7547169811321,NA,"NM_0_0445.lst"
"ETA1",0.282,0.417,147.872340425532,NA,"NM_0_0446.lst"
"ETA2",0.0458,0.0209,45.6331877729258,NA,"NM_0_0446.lst"
"ETA1",0,0,NA,NA,"NM_0_0447.lst"
"ETA2",0.22,0.209,95,NA,"NM_0_0447.lst"
"ETA1",0.0576,0.0258,44.7916666666667,NA,"NM_0_0454.lst"
"ETA2",0.0122,0.0277,227.049180327869,NA,"NM_0_0454.lst"
"ETA3",0.352,0.197,55.9659090909091,NA,"NM_0_0454.lst"
"ETA1",0.0716,0.0321,44.8324022346369,NA,"NM_0_0455.lst"
"ETA2",0,1,Inf,NA,"NM_0_0455.lst"
"ETA3",0.147,0.162,110.204081632653,NA,"NM_0_0455.lst"
"ETA1",0.0455,0.0283,62.1978021978022,NA,"NM_0_0456.lst"
"ETA2",0,0,NA,NA,"NM_0_0456.lst"
"ETA3",0.187,0.175,93.5828877005348,NA,"NM_0_0456.lst"
"ETA1",0.0864,0.0389,45.0231481481481,NA,"NM_0_0463.lst"
"ETA2",1,0.977,97.7,NA,"NM_0_0463.lst"
"ETA3",0.206,0.199,96.6019417475728,NA,"NM_0_0463.lst"
"ETA1",0.0486,0.0318,65.4320987654321,NA,"NM_0_0464.lst"
"ETA2",0,0,NA,NA,"NM_0_0464.lst"
"ETA3",0.252,0.232,92.0634920634921,NA,"NM_0_0464.lst"
"ETA1",0.0448,0.0285,63.6160714285714,NA,"NM_0_0465.lst"
"ETA2",0,0,NA,NA,"NM_0_0465.lst"
"ETA3",0.213,0.206,96.7136150234742,NA,"NM_0_0465.lst"
"ETA1",0.404,0.218,53.960396039604,NA,"NM_0_0472.lst"
"ETA2",0.0788,0.0347,44.0355329949239,NA,"NM_0_0472.lst"
"ETA3",0.0181,0.00812,44.8618784530387,NA,"NM_0_0472.lst"
"ETA1",0.403,0.218,54.0942928039702,NA,"NM_0_0473.lst"
"ETA2",0.0901,0.0648,71.9200887902331,NA,"NM_0_0473.lst"
"ETA3",0.0179,0.00759,42.4022346368715,NA,"NM_0_0473.lst"
"ETA1",0.403,0.218,54.0942928039702,NA,"NM_0_0474.lst"
"ETA2",0.0921,0.0796,86.4277958740499,NA,"NM_0_0474.lst"
"ETA3",0.0178,0.00752,42.247191011236,NA,"NM_0_0474.lst"
"ETA1",0.442,0.243,54.9773755656109,NA,"NM_0_0481.lst"
"ETA2",0.0733,0.033,45.0204638472033,NA,"NM_0_0481.lst"
"ETA3",0.0174,0.00591,33.9655172413793,NA,"NM_0_0481.lst"
"ETA1",0.442,0.243,54.9773755656109,NA,"NM_0_0482.lst"
"ETA2",0.0731,0.0333,45.5540355677155,NA,"NM_0_0482.lst"
"ETA3",0.0174,0.0059,33.9080459770115,NA,"NM_0_0482.lst"
"ETA1",0.442,0.243,54.9773755656109,NA,"NM_0_0483.lst"
"ETA2",0.0732,0.0332,45.3551912568306,NA,"NM_0_0483.lst"
"ETA3",0.0174,0.00591,33.9655172413793,NA,"NM_0_0483.lst"
"ETA1",0.11,0.229,208.181818181818,NA,"NM_0_0490.lst"
"ETA2",0.403,0.219,54.3424317617866,NA,"NM_0_0490.lst"
"ETA3",0.157,0.268,170.700636942675,NA,"NM_0_0490.lst"
"ETA4",0.0174,0.00788,45.2873563218391,NA,"NM_0_0490.lst"
"ETA1",0.137,0.263,191.970802919708,NA,"NM_0_0491.lst"
"ETA2",0.4,0.216,54,NA,"NM_0_0491.lst"
"ETA3",0.135,0.144,106.666666666667,NA,"NM_0_0491.lst"
"ETA4",0.018,0.00799,44.3888888888889,NA,"NM_0_0491.lst"
"ETA1",0.106,0.179,168.867924528302,NA,"NM_0_0492.lst"
"ETA2",0.4,0.216,54,NA,"NM_0_0492.lst"
"ETA3",0.178,0.273,153.370786516854,NA,"NM_0_0492.lst"
"ETA4",0.0179,0.00804,44.9162011173184,NA,"NM_0_0492.lst"
"ETA1",0,0,NA,NA,"NM_0_0499.lst"
"ETA2",0.442,0.244,55.2036199095023,NA,"NM_0_0499.lst"
"ETA3",0.0721,0.0324,44.9375866851595,NA,"NM_0_0499.lst"
"ETA4",0.0174,0.00592,34.0229885057471,NA,"NM_0_0499.lst"
"ETA1",0.223,0.637,285.650224215247,NA,"NM_0_0500.lst"
"ETA2",0.439,0.242,55.125284738041,NA,"NM_0_0500.lst"
"ETA3",0.0956,0.0764,79.9163179916318,NA,"NM_0_0500.lst"
"ETA4",0.0176,0.00548,31.1363636363636,NA,"NM_0_0500.lst"
"ETA1",0.172,0.472,274.418604651163,NA,"NM_0_0501.lst"
"ETA2",0.439,0.242,55.125284738041,NA,"NM_0_0501.lst"
"ETA3",0.108,0.121,112.037037037037,NA,"NM_0_0501.lst"
"ETA4",0.0176,0.00551,31.3068181818182,NA,"NM_0_0501.lst"
"ETA1",0.177,0.0926,52.316384180791,NA,"NM_0_051.lst"
"ETA1",0.112,0.047,41.9642857142857,NA,"NM_0_052.lst"
"ETA2",0.161,0.0757,47.0186335403727,NA,"NM_0_052.lst"
"ETA1",0.178,0.0424,23.8202247191011,NA,"NM_0_053.lst"
"ETA1",0.112,0.0446,39.8214285714286,NA,"NM_0_054.lst"
"ETA2",0.161,0.0757,47.0186335403727,NA,"NM_0_054.lst"
"ETA1",0.96,0.475,49.4791666666667,NA,"NM_0_057.lst"
"ETA2",0.16,0.0671,41.9375,NA,"NM_0_057.lst"
"ETA1",0.0294,0.0179,60.8843537414966,NA,"NM_0_057_1066.lst"
"ETA1",0.0321,0.0155,48.2866043613707,NA,"NM_0_057_1227.lst"
"ETA1",0.0293,0.0132,45.0511945392492,NA,"NM_0_057_1388.lst"
"ETA1",0.0245,0.00921,37.5918367346939,NA,"NM_0_057_140.lst"
"ETA1",0.0337,0.0156,46.2908011869436,NA,"NM_0_057_1549.lst"
"ETA1",0.0399,0.0207,51.8796992481203,NA,"NM_0_057_1710.lst"
"ETA1",0.0324,0.016,49.3827160493827,NA,"NM_0_057_1871.lst"
"ETA1",0.0595,0.0463,77.8151260504202,NA,"NM_0_057_2032.lst"
"ETA1",0.0586,0.0485,82.7645051194539,NA,"NM_0_057_2193.lst"
"ETA1",0.0623,0.0483,77.5280898876404,NA,"NM_0_057_2354.lst"
"ETA1",0.0496,0.0318,64.1129032258065,NA,"NM_0_057_2515.lst"
"ETA1",0.0235,0.0119,50.6382978723404,NA,"NM_0_057_261.lst"
"ETA1",0.0396,0.0289,72.979797979798,NA,"NM_0_057_2676.lst"
"ETA1",0.0659,0.0515,78.1487101669196,NA,"NM_0_057_2837.lst"
"ETA1",0.0347,0.0198,57.0605187319885,NA,"NM_0_057_2998.lst"
"ETA1",0.399,0.752,188.471177944862,NA,"NM_0_057_3159.lst"
"ETA1",0.0347,0.0198,57.0605187319885,NA,"NM_0_057_3320.lst"
"ETA1",0.309,0.59,190.938511326861,NA,"NM_0_057_3481.lst"
"ETA1",0.031,0.0146,47.0967741935484,NA,"NM_0_057_3642.lst"
"ETA1",0.322,0.741,230.124223602484,NA,"NM_0_057_3803.lst"
"ETA1",0.0233,0.00941,40.3862660944206,NA,"NM_0_057_3964.lst"
"ETA1",0.0214,0.039,182.242990654206,NA,"NM_0_057_4125.lst"
"ETA1",0.0241,0.00907,37.6348547717842,NA,"NM_0_057_422.lst"
"ETA1",0.0236,0.245,1038.13559322034,NA,"NM_0_057_4286.lst"
"ETA1",0.0275,0.0377,137.090909090909,NA,"NM_0_057_4447.lst"
"ETA1",0.0332,0.0163,49.0963855421687,NA,"NM_0_057_4608.lst"
"ETA1",0.0231,0.00898,38.8744588744589,NA,"NM_0_057_4769.lst"
"ETA1",0.0195,0.00789,40.4615384615385,NA,"NM_0_057_583.lst"
"ETA1",0.0187,0.000274,1.46524064171123,NA,"NM_0_057_744.lst"
"ETA1",0.0219,0.00857,39.1324200913242,NA,"NM_0_057_905.lst"
"ETA1",0.124,0.0493,39.758064516129,NA,"NM_0_058.lst"
"ETA2",0.88,0.404,45.9090909090909,NA,"NM_0_058.lst"
"ETA3",0.154,0.0558,36.2337662337662,NA,"NM_0_058.lst"
"ETA1",0.0295,0.0238,80.6779661016949,NA,"NM_0_058_1067.lst"
"ETA1",0.0321,0.0151,47.0404984423676,NA,"NM_0_058_1228.lst"
"ETA1",0.0314,0.0144,45.859872611465,NA,"NM_0_058_1389.lst"
"ETA1",1,0,0,NA,"NM_0_058_141.lst"
"ETA1",0.0337,0.0158,46.8842729970326,NA,"NM_0_058_1550.lst"
"ETA1",0.0399,0.0229,57.3934837092732,NA,"NM_0_058_1711.lst"
"ETA1",0.0324,0.0151,46.6049382716049,NA,"NM_0_058_1872.lst"
"ETA1",0.0586,0.047,80.2047781569966,NA,"NM_0_058_2033.lst"
"ETA1",0.0578,0.0491,84.9480968858132,NA,"NM_0_058_2194.lst"
"ETA1",0.0613,0.049,79.9347471451876,NA,"NM_0_058_2355.lst"
"ETA1",0.0497,0.0323,64.989939637827,NA,"NM_0_058_2516.lst"
"ETA1",1,NA,NA,NA,"NM_0_058_262.lst"
"ETA1",0.0429,0.0315,73.4265734265734,NA,"NM_0_058_2677.lst"
"ETA1",0.0647,0.0522,80.6800618238022,NA,"NM_0_058_2838.lst"
"ETA1",0.0348,0.0217,62.3563218390805,NA,"NM_0_058_2999.lst"
"ETA1",0.689,0.882,128.011611030479,NA,"NM_0_058_3160.lst"
"ETA1",0.0348,0.0217,62.3563218390805,NA,"NM_0_058_3321.lst"
"ETA1",1e-05,0,0,NA,"NM_0_058_3482.lst"
"ETA1",0.0309,0.0139,44.9838187702265,NA,"NM_0_058_3643.lst"
"ETA1",0.0402,NA,NA,NA,"NM_0_058_3804.lst"
"ETA1",2,NA,NA,NA,"NM_0_058_3965.lst"
"ETA1",2,NA,NA,NA,"NM_0_058_4126.lst"
"ETA1",2,NA,NA,NA,"NM_0_058_423.lst"
"ETA1",0.0225,NA,NA,NA,"NM_0_058_4287.lst"
"ETA1",2,NA,NA,NA,"NM_0_058_4448.lst"
"ETA1",0.0397,0.0698,175.818639798489,NA,"NM_0_058_4609.lst"
"ETA1",2,NA,NA,NA,"NM_0_058_4770.lst"
"ETA1",0.0737,0.068,92.2659430122117,NA,"NM_0_058_584.lst"
"ETA1",0.0184,0.00981,53.3152173913043,NA,"NM_0_058_745.lst"
"ETA1",1,0,0,NA,"NM_0_058_906.lst"
"ETA1",8,NA,NA,NA,"NM_0_0580.lst"
"ETA1",0.144,0.0752,52.2222222222222,NA,"NM_0_0581.lst"
"ETA1",1,1,100,NA,"NM_0_0582.lst"
"ETA1",0.188,0.00051,0.271276595744681,NA,"NM_0_0583.lst"
"ETA1",0.2,0.13,65,NA,"NM_0_0584.lst"
"ETA1",0.174,0.00601,3.45402298850575,NA,"NM_0_0585.lst"
"ETA1",0,3,Inf,NA,"NM_0_0589.lst"
"ETA1",0.96,NA,NA,NA,"NM_0_059.lst"
"ETA2",0.16,NA,NA,NA,"NM_0_059.lst"
"ETA1",0.03,0.00269,8.96666666666667,NA,"NM_0_059_1068.lst"
"ETA1",0.0322,0.00325,10.0931677018634,NA,"NM_0_059_1229.lst"
"ETA1",0.0293,0.0529,180.546075085324,NA,"NM_0_059_1390.lst"
"ETA1",0.0325,7.36e-05,0.226461538461538,NA,"NM_0_059_142.lst"
"ETA1",0.0337,0.00376,11.1572700296736,NA,"NM_0_059_1551.lst"
"ETA1",0.039,0.0162,41.5384615384615,NA,"NM_0_059_1712.lst"
"ETA1",0.0324,0.0139,42.9012345679012,NA,"NM_0_059_1873.lst"
"ETA1",0.0179,0.0142,79.3296089385475,NA,"NM_0_059_2034.lst"
"ETA1",0.0353,0.104,294.617563739377,NA,"NM_0_059_2195.lst"
"ETA1",0.014,0.0031,22.1428571428571,NA,"NM_0_059_2356.lst"
"ETA1",0.0295,0.0435,147.457627118644,NA,"NM_0_059_2517.lst"
"ETA1",0.0843,0.012,14.2348754448399,NA,"NM_0_059_263.lst"
"ETA1",0.0429,0.02,46.6200466200466,NA,"NM_0_059_2678.lst"
"ETA1",0.033,0.0156,47.2727272727273,NA,"NM_0_059_2839.lst"
"ETA1",0.0347,0.373,1074.92795389049,NA,"NM_0_059_3000.lst"
"ETA1",0.722,0,0,NA,"NM_0_059_3161.lst"
"ETA1",0.0347,0.373,1074.92795389049,NA,"NM_0_059_3322.lst"
"ETA1",0.05,0.000128,0.256,NA,"NM_0_059_3483.lst"
"ETA1",0.0311,0.013,41.8006430868167,NA,"NM_0_059_3644.lst"
"ETA1",0.68,0.59,86.7647058823529,NA,"NM_0_059_3805.lst"
"ETA1",0.023,0.00892,38.7826086956522,NA,"NM_0_059_3966.lst"
"ETA1",0.0215,0.00979,45.5348837209302,NA,"NM_0_059_4127.lst"
"ETA1",0.0903,0.000522,0.578073089700997,NA,"NM_0_059_424.lst"
"ETA1",0.0232,0.00931,40.1293103448276,NA,"NM_0_059_4288.lst"
"ETA1",0.0264,0.0392,148.484848484848,NA,"NM_0_059_4449.lst"
"ETA1",0.031,0.576,1858.06451612903,NA,"NM_0_059_4610.lst"
"ETA1",0.0231,0.133,575.757575757576,NA,"NM_0_059_4771.lst"
"ETA1",0.0195,9.49e-05,0.486666666666667,NA,"NM_0_059_585.lst"
"ETA1",0.0194,0.00803,41.3917525773196,NA,"NM_0_059_746.lst"
"ETA1",0.0219,0.00872,39.8173515981735,NA,"NM_0_059_907.lst"
"ETA1",0.0279,0.0058,20.7885304659498,NA,"NM_0_0590.lst"
"ETA1",0.0278,0.00936,33.6690647482014,NA,"NM_0_0591.lst"
"ETA1",0.566,0.00657,1.16077738515901,NA,"NM_0_0592.lst"
"ETA1",1,NA,NA,NA,"NM_0_0593.lst"
"ETA1",0.802,0.035,4.3640897755611,NA,"NM_0_0594.lst"
"ETA1",0.0871,0.109,125.143513203215,NA,"NM_0_0598.lst"
"ETA2",0.911,0.837,91.8770581778266,NA,"NM_0_0598.lst"
"ETA1",0.0792,0.0137,17.2979797979798,NA,"NM_0_0599.lst"
"ETA2",0,0,NA,NA,"NM_0_0599.lst"
"ETA1",0.124,0.462,372.58064516129,NA,"NM_0_060.lst"
"ETA2",0.88,0.86,97.7272727272727,NA,"NM_0_060.lst"
"ETA3",0.154,0.107,69.4805194805195,NA,"NM_0_060.lst"
"ETA1",0.0297,0.00442,14.8821548821549,NA,"NM_0_060_1069.lst"
"ETA1",0.0323,0.0041,12.6934984520124,NA,"NM_0_060_1230.lst"
