"parameter","estimate","se","rse","shrinkage","file"
"ETA1",0.0241,0.0112,46.4730290456432,NA,"NM_0_008_127.lst"
"ETA1",0.0316,0.0147,46.5189873417721,NA,"NM_0_008_1367.lst"
"ETA1",0.0356,0.0172,48.314606741573,NA,"NM_0_008_1528.lst"
"ETA1",0.04,0.0222,55.5,NA,"NM_0_008_1689.lst"
"ETA1",0.0339,0.0165,48.6725663716814,NA,"NM_0_008_1850.lst"
"ETA1",0.0175,0.0134,76.5714285714286,NA,"NM_0_008_2011.lst"
"ETA1",0.0159,0.0128,80.503144654088,NA,"NM_0_008_2172.lst"
"ETA1",0.0176,0.0134,76.1363636363636,NA,"NM_0_008_2333.lst"
"ETA1",0.0217,0.0106,48.8479262672811,NA,"NM_0_008_240.lst"
"ETA1",0.027,0.0157,58.1481481481481,NA,"NM_0_008_2494.lst"
"ETA1",0.0401,0.0268,66.8329177057357,NA,"NM_0_008_2655.lst"
"ETA1",0.0167,0.0133,79.6407185628742,NA,"NM_0_008_2816.lst"
"ETA1",0.0346,0.0221,63.8728323699422,NA,"NM_0_008_2977.lst"
"ETA1",0.0341,0.0179,52.4926686217009,NA,"NM_0_008_3138.lst"
"ETA1",0.0346,0.0221,63.8728323699422,NA,"NM_0_008_3299.lst"
"ETA1",0.0356,0.018,50.561797752809,NA,"NM_0_008_3460.lst"
"ETA1",0.0309,0.014,45.3074433656958,NA,"NM_0_008_3621.lst"
"ETA1",0.0323,0.0173,53.5603715170279,NA,"NM_0_008_3782.lst"
"ETA1",0.0226,0.0098,43.3628318584071,NA,"NM_0_008_3943.lst"
"ETA1",0.0239,0.0111,46.4435146443515,NA,"NM_0_008_401.lst"
"ETA1",0.0217,0.00926,42.6728110599078,NA,"NM_0_008_4104.lst"
"ETA1",0.0228,0.00976,42.8070175438596,NA,"NM_0_008_4265.lst"
"ETA1",0.0272,0.0133,48.8970588235294,NA,"NM_0_008_4426.lst"
"ETA1",0.0342,0.0163,47.6608187134503,NA,"NM_0_008_4587.lst"
"ETA1",0.023,0.00969,42.1304347826087,NA,"NM_0_008_4748.lst"
"ETA1",0.0193,0.00987,51.139896373057,NA,"NM_0_008_562.lst"
"ETA1",0.0186,0.00981,52.741935483871,NA,"NM_0_008_723.lst"
"ETA1",0.0224,0.0111,49.5535714285714,NA,"NM_0_008_884.lst"
"ETA1",0.0394,0.0177,44.9238578680203,NA,"NM_0_0082.lst"
"ETA1",0.0466,0.0211,45.2789699570815,NA,"NM_0_0083.lst"
"ETA1",0.0448,0.0201,44.8660714285714,NA,"NM_0_0084.lst"
"ETA1",0.974,0.358,36.7556468172485,NA,"NM_0_009.lst"
"ETA1",0.0301,0.0155,51.4950166112957,NA,"NM_0_009_1046.lst"
"ETA1",0.0319,0.0153,47.9623824451411,NA,"NM_0_009_1207.lst"
"ETA1",0.0266,0.0114,42.8571428571429,NA,"NM_0_009_128.lst"
"ETA1",0.03,0.0155,51.6666666666667,NA,"NM_0_009_1368.lst"
"ETA1",0.0336,0.0151,44.9404761904762,NA,"NM_0_009_1529.lst"
"ETA1",0.211,0.155,73.4597156398104,NA,"NM_0_009_1690.lst"
"ETA1",0.0326,0.0442,135.58282208589,NA,"NM_0_009_1851.lst"
"ETA1",0.0637,0.0483,75.8241758241758,NA,"NM_0_009_2012.lst"
"ETA1",0.0622,0.0512,82.3151125401929,NA,"NM_0_009_2173.lst"
"ETA1",0.0661,0.0505,76.3993948562784,NA,"NM_0_009_2334.lst"
"ETA1",0.0234,0.0107,45.7264957264957,NA,"NM_0_009_241.lst"
"ETA1",0.05,0.0321,64.2,NA,"NM_0_009_2495.lst"
"ETA1",0.0401,0.0281,70.0748129675811,NA,"NM_0_009_2656.lst"
"ETA1",0.0669,0.0533,79.6711509715994,NA,"NM_0_009_2817.lst"
"ETA1",0.0347,0.0228,65.7060518731988,NA,"NM_0_009_2978.lst"
"ETA1",0.265,0.29,109.433962264151,NA,"NM_0_009_3139.lst"
"ETA1",0.0347,0.0228,65.7060518731988,NA,"NM_0_009_3300.lst"
"ETA1",0.281,0.322,114.590747330961,NA,"NM_0_009_3461.lst"
"ETA1",0.0312,0.0147,47.1153846153846,NA,"NM_0_009_3622.lst"
"ETA1",0.269,0.275,102.230483271375,NA,"NM_0_009_3783.lst"
"ETA1",0.0231,0.0101,43.7229437229437,NA,"NM_0_009_3944.lst"
"ETA1",0.0262,0.0113,43.1297709923664,NA,"NM_0_009_402.lst"
"ETA1",0.0218,0.00935,42.8899082568807,NA,"NM_0_009_4105.lst"
"ETA1",0.0233,0.01,42.9184549356223,NA,"NM_0_009_4266.lst"
"ETA1",0.0262,0.0128,48.8549618320611,NA,"NM_0_009_4427.lst"
"ETA1",0.0351,0.0167,47.5783475783476,NA,"NM_0_009_4588.lst"
"ETA1",0.0231,0.0105,45.4545454545455,NA,"NM_0_009_4749.lst"
"ETA1",0.0196,0.00788,40.2040816326531,NA,"NM_0_009_563.lst"
"ETA1",0.0204,NA,NA,NA,"NM_0_009_724.lst"
"ETA1",0.0245,0.0112,45.7142857142857,NA,"NM_0_009_885.lst"
"ETA1",0.0881,0.0368,41.7707150964813,NA,"NM_0_0091.lst"
"ETA2",0.0233,0.012,51.5021459227468,NA,"NM_0_0091.lst"
"ETA1",0.0729,0.0419,57.4759945130316,NA,"NM_0_0092.lst"
"ETA2",0.0235,0.012,51.063829787234,NA,"NM_0_0092.lst"
"ETA1",0.0732,0.0396,54.0983606557377,NA,"NM_0_0093.lst"
"ETA2",0.0235,0.012,51.063829787234,NA,"NM_0_0093.lst"
"ETA1",0.0679,0.0468,68.9248895434462,NA,"NM_0_010.lst"
"ETA2",0.957,0.367,38.3490073145246,NA,"NM_0_010.lst"
"ETA1",0.0317,0,0,NA,"NM_0_010_1047.lst"
"ETA1",0.0336,0.0162,48.2142857142857,NA,"NM_0_010_1208.lst"
"ETA1",1,0,0,NA,"NM_0_010_129.lst"
"ETA1",0.0309,0.0369,119.417475728155,NA,"NM_0_010_1369.lst"
"ETA1",0.0335,0.0161,48.0597014925373,NA,"NM_0_010_1530.lst"
"ETA1",0.0402,0.0611,151.990049751244,NA,"NM_0_010_1691.lst"
"ETA1",0.0324,0.0156,48.1481481481481,NA,"NM_0_010_1852.lst"
"ETA1",0.0601,0.0463,77.0382695507488,NA,"NM_0_010_2013.lst"
"ETA1",0.0593,0.0481,81.1129848229342,NA,"NM_0_010_2174.lst"
"ETA1",0.0624,0.0483,77.4038461538462,NA,"NM_0_010_2335.lst"
"ETA1",0.0199,0.00787,39.5477386934673,NA,"NM_0_010_242.lst"
"ETA1",0.0498,0.032,64.2570281124498,NA,"NM_0_010_2496.lst"
"ETA1",0.0409,0.0298,72.8606356968215,NA,"NM_0_010_2657.lst"
"ETA1",0.0177,0.0144,81.3559322033898,NA,"NM_0_010_2818.lst"
"ETA1",0.0346,0.0224,64.7398843930636,NA,"NM_0_010_2979.lst"
"ETA1",0.259,0.212,81.8532818532818,NA,"NM_0_010_3140.lst"
"ETA1",0.0346,0.0224,64.7398843930636,NA,"NM_0_010_3301.lst"
"ETA1",0.268,0.23,85.8208955223881,NA,"NM_0_010_3462.lst"
"ETA1",0.0309,0.0138,44.6601941747573,NA,"NM_0_010_3623.lst"
"ETA1",0.255,0.293,114.901960784314,NA,"NM_0_010_3784.lst"
"ETA1",1,0.871,87.1,NA,"NM_0_010_3945.lst"
"ETA1",0.0856,0.0766,89.4859813084112,NA,"NM_0_010_403.lst"
"ETA1",0.0217,0.00926,42.6728110599078,NA,"NM_0_010_4106.lst"
"ETA1",1,0.0342,3.42,NA,"NM_0_010_4267.lst"
"ETA1",0.0272,0.0133,48.8970588235294,NA,"NM_0_010_4428.lst"
"ETA1",0.0342,0.0163,47.6608187134503,NA,"NM_0_010_4589.lst"
"ETA1",2,0,0,NA,"NM_0_010_4750.lst"
"ETA1",0.0219,0.0104,47.4885844748858,NA,"NM_0_010_564.lst"
"ETA1",0.0181,1.71e-05,0.094475138121547,NA,"NM_0_010_725.lst"
"ETA1",3,NA,NA,NA,"NM_0_010_886.lst"
"ETA1",0.0833,0.0359,43.0972388955582,NA,"NM_0_0100.lst"
"ETA2",0.0414,0.0191,46.1352657004831,NA,"NM_0_0100.lst"
"ETA1",0.072,0.042,58.3333333333333,NA,"NM_0_0101.lst"
"ETA2",0.0432,0.0202,46.7592592592593,NA,"NM_0_0101.lst"
"ETA1",0.0715,0.0396,55.3846153846154,NA,"NM_0_0102.lst"
"ETA2",0.0428,0.0199,46.4953271028037,NA,"NM_0_0102.lst"
"ETA1",0.456,0.237,51.9736842105263,NA,"NM_0_0109.lst"
"ETA2",0.0486,0.0165,33.9506172839506,NA,"NM_0_0109.lst"
"ETA1",0.223,0.101,45.2914798206278,NA,"NM_0_011.lst"
"ETA1",0.0301,0.0195,64.7840531561462,NA,"NM_0_011_1048.lst"
"ETA1",0.0319,0.023,72.1003134796238,NA,"NM_0_011_1209.lst"
"ETA1",0.119,0.00193,1.6218487394958,NA,"NM_0_011_130.lst"
"ETA1",0.03,0.142,473.333333333333,NA,"NM_0_011_1370.lst"
"ETA1",0.0337,0.00596,17.6854599406528,NA,"NM_0_011_1531.lst"
"ETA1",0.0384,0.0168,43.75,NA,"NM_0_011_1692.lst"
"ETA1",0.0324,0.00377,11.6358024691358,NA,"NM_0_011_1853.lst"
"ETA1",0.0336,0.0184,54.7619047619048,NA,"NM_0_011_2014.lst"
"ETA1",0.0324,0.0231,71.2962962962963,NA,"NM_0_011_2175.lst"
"ETA1",0.0375,0.0224,59.7333333333333,NA,"NM_0_011_2336.lst"
"ETA1",0.091,0.00154,1.69230769230769,NA,"NM_0_011_243.lst"
"ETA1",0.0619,0.0371,59.935379644588,NA,"NM_0_011_2497.lst"
"ETA1",0.0403,0.03,74.4416873449131,NA,"NM_0_011_2658.lst"
"ETA1",0.0334,0.0231,69.1616766467066,NA,"NM_0_011_2819.lst"
"ETA1",0.0656,0.00383,5.83841463414634,NA,"NM_0_011_2980.lst"
"ETA1",0.318,0.153,48.1132075471698,NA,"NM_0_011_3141.lst"
"ETA1",0.0656,0.00383,5.83841463414634,NA,"NM_0_011_3302.lst"
"ETA1",0.0479,0.000131,0.273486430062631,NA,"NM_0_011_3463.lst"
"ETA1",0.0312,0.0157,50.3205128205128,NA,"NM_0_011_3624.lst"
"ETA1",0.33,0.274,83.030303030303,NA,"NM_0_011_3785.lst"
"ETA1",0.0226,0,0,NA,"NM_0_011_3946.lst"
"ETA1",0.132,0.323,244.69696969697,NA,"NM_0_011_404.lst"
"ETA1",0.0214,0.016,74.7663551401869,NA,"NM_0_011_4107.lst"
"ETA1",0.0228,0.19,833.333333333333,NA,"NM_0_011_4268.lst"
"ETA1",0.0262,0.044,167.93893129771,NA,"NM_0_011_4429.lst"
"ETA1",0.0325,0.00346,10.6461538461538,NA,"NM_0_011_4590.lst"
"ETA1",0.0226,0.01,44.2477876106195,NA,"NM_0_011_4751.lst"
"ETA1",0.0195,5.2e-05,0.266666666666667,NA,"NM_0_011_565.lst"
"ETA1",0.13,0.0578,44.4615384615385,NA,"NM_0_011_726.lst"
"ETA1",0.022,0.0101,45.9090909090909,NA,"NM_0_011_887.lst"
"ETA1",0.386,0.2,51.8134715025907,NA,"NM_0_0110.lst"
"ETA2",0.0367,0.0116,31.6076294277929,NA,"NM_0_0110.lst"
"ETA1",0.403,0.209,51.8610421836228,NA,"NM_0_0111.lst"
"ETA2",0.0393,0.0126,32.0610687022901,NA,"NM_0_0111.lst"
"ETA1",0.475,0.249,52.4210526315789,NA,"NM_0_0118.lst"
"ETA2",0.0401,0.0128,31.9201995012469,NA,"NM_0_0118.lst"
"ETA1",0.408,0.21,51.4705882352941,NA,"NM_0_0119.lst"
"ETA2",0.0405,0.0155,38.2716049382716,NA,"NM_0_0119.lst"
"ETA1",0.0679,NA,NA,NA,"NM_0_012.lst"
"ETA2",0.957,NA,NA,NA,"NM_0_012.lst"
"ETA1",0.0298,0.0195,65.4362416107383,NA,"NM_0_012_1049.lst"
"ETA1",0.0319,0.0157,49.2163009404389,NA,"NM_0_012_1210.lst"
"ETA1",0.0976,0.0535,54.8155737704918,NA,"NM_0_012_131.lst"
"ETA1",0.0297,0.0177,59.5959595959596,NA,"NM_0_012_1371.lst"
"ETA1",0.0336,0.0544,161.904761904762,NA,"NM_0_012_1532.lst"
"ETA1",0.04,0.0223,55.75,NA,"NM_0_012_1693.lst"
"ETA1",0.0324,0.0177,54.6296296296296,NA,"NM_0_012_1854.lst"
"ETA1",0.0339,0.0272,80.23598820059,NA,"NM_0_012_2015.lst"
"ETA1",0.0332,0.0591,178.012048192771,NA,"NM_0_012_2176.lst"
"ETA1",0.0325,0.0325,100,NA,"NM_0_012_2337.lst"
